Setups,Punchlines,Explanation
"老婆問老公：
老公，這輩子你睡過幾個女人啊？

老公說：",只有妳一個，其他的都讓我整晚睡不著。,"This is funny because it is unexpected and a pun on ""sleeping with"". When the husband says he has only slept with the wife, the wife would expect him to mean that he has not had sex, but he means that the other women kept him up during the night so he couldn't fall asleep."
"老公：我剛剛逛街，看見四款包，不知道妳喜歡哪一個，所以我全買了！

老婆：哇～（開心）
快拿來我看看！（期待）
",老公：豆沙包、肉包、菜包、割包…..,"This is funny because it is a pun. The wife is pleased because she thinks the husband bought bags, when he really means four types of buns, since bags and buns are represented by the same character."
"情人節後第二天，有一美女頭痛去看醫生。
醫生問：「有甚麼不舒服？」
美少女：「吃了20粒避孕藥，頭痛。」
醫生問：「爲何不按說明書服用？」
美少女：「就是按説明書，說明書上寫著：一次一粒。」",醫生：……,"This is funny because of the misinterpretation. The woman thinks taking one pill at a time means taking all of them, just one by one."
"五位好朋友在喝酒，然後他們決定開車去續攤！
半路被警察攔下，警察說：怎麼有酒味？",開車朋友說：警察先生你喝醉了喔，我們明明才五位哪有九位。,"This is funny because it is a pun. ""Alcohol scent"" and ""nine individuals"" sound the same in Chinese, so the friends misunderstand the police and claim that there are only five of them, not nine, when the police was actually asking about the alcohol."
"小明坐在家門口吃雪糕，不遠處站著一個衣衫襤褸的小男孩正眼巴巴的瞅著他，垂涎欲滴的樣子。
小明覺得他很可憐，就招手讓小男孩過來。",然後遞給他一個板凳說：「來，坐著看！」,"This is funny because it is ironic. XIoaming thinks he is helping the boy by letting him watch, but this is worse for the boy, who has to watch someone eat ice cream up close, when he actually wants the ice cream."
女兒：我爸最疼我了，在我記憶中他從來沒打過我。,父親：我以前很凶，小孩不聽話就打，直到有一次把閨女打失憶了……,"This is funny because it is unexpected. The daughter can't remember her father hitting her, not because he hasn't, but because he hit her too hard that she forgot."
"甲婦：「看起來你好像很累！」
乙婦：「是呀！我先生住院，我日夜都得守著他。」
甲婦：「你為何不請一個護士幫忙照顧呢？」",乙婦：「就是因為請了護士，才需要我日夜都顧好我先生啊！」,"This is unexpected because one might expect the woman to be protecting her husband from his injuries, when she is actually protecting her husband from the nurse."
"一漂亮女子穿迷你超短裙在公車上遇一流氓。流氓說：「小姐，讓我看看你的大腿！給你50元。」
女子說：「這樣吧，先給我100元，等公車到站後，我讓你看看我生過小孩的地方。」
流氓高興地不得了。",等公車到了站，她朝著路邊的醫院指著說：「你看，這就是我生過孩子的地方！」,"This is funny because it is unexpected. The man thinks the woman is going to show her parts of her body when she says she'll show him where she gives birth, but the woman ends up pointing to the hospital since she gave birth at the hospital."
"高中是寄宿制學校。有天晚上，同寢室一位室友突然特別大方，翻出他的「私人儲備」

整整一桶餅乾，分給全寢室人吃，正當我們狼吞虎嚥之時，
",他來了一句：「抓緊時間吃，等會兒12點一過，這餅乾就過期了…」,"This is funny because it is unexpected. The roommate seems to be generously offering food to his roommates, but he reveals that he is trying to get rid of the food before it expires."
,,26
